pickup_community_area,fare,trip_start_month,trip_start_hour,trip_start_day,trip_start_timestamp,pickup_longitude,dropoff_latitude,dropoff_longitude,trip_miles,dropoff_census_tract,payment_type,company,trip_seconds,dropoff_community_area,tips
60,27.05,10,2,3,1380593700,-87.64878795,,,12.6,,Cash,Taxi Affiliation Services,1380,,0
10,5.85,10,1,2,1382319000,-87.80453201,,,0,,Cash,Taxi Affiliation Services,180,,0
14,16.65,5,7,5,1369897200,-87.72155906,,,0,,Cash,Dispatch Taxi Affiliation,1080,,0
13,16.45,11,12,3,1446554700,-87.72358319,,,6.9,,Cash,,780,,0
16,32.05,12,1,1,1417916700,-87.72345239,,,15.4,,Cash,,1200,,0
30,38.45,10,10,5,1444301100,-87.71400381,,,14.6,,Cash,,2580,,0
11,14.65,1,1,3,1358213400,-87.7711667,,,5.81,,Cash,,1080,,0
33,3.25,5,17,1,1368985500,-87.6241353,,,0,,Cash,Taxi Affiliation Services,0,,0
19,47.65,6,15,4,1372258800,-87.76550161,,,0,,Cash,Taxi Affiliation Services,3480,,0
25,6.85,3,9,6,1426239900,-87.75604671,,,2,,Cash,,420,,0
13,14.45,6,7,1,1403421300,-87.72358319,,,5.3,,Cash,,1020,,0
33,9.85,6,11,6,1371812400,-87.6241353,,,2.81,,Credit Card,,840,,3
25,3.05,2,6,2,1360565100,-87.75604671,,,0.4,,Cash,,120,,0
18,20.85,12,17,4,1386782100,-87.79803218,,,6.3,,Cash,,2100,,0
8,8.05,10,18,7,1382208300,-87.64090153,,,1.63,,Cash,,840,,0
32,6.85,4,13,6,1397222100,-87.63140653,,,2.1,,Cash,Taxi Affiliation Services,240,,0
2,0,11,0,7,1448669700,-87.69501259,,,0,,Cash,Blue Ribbon Taxi Association Inc.,0,,0
3,12.25,8,19,5,1375384500,-87.65302179,,,4.51,,Cash,,600,,0
33,3.25,5,17,1,1368983700,-87.6241353,,,0,,Cash,Taxi Affiliation Services,0,,0
14,8.85,4,19,7,1367091000,-87.72155906,,,2.72,,Cash,,540,,0
7,5.85,2,0,7,1360972800,-87.64145976,,,1.26,,Cash,,300,,0
8,7.25,1,20,7,1357416900,-87.64990723,,,1.62,,Cash,,540,,0
33,10.65,4,19,7,1367091000,-87.6241353,,,3.28,,Cash,,840,,0
33,46.85,3,1,1,1393723800,-87.62033462,,,22.9,,Cash,Northwest Management LLC,3180,,0
33,34.45,11,19,6,1385148600,-87.62033462,,,0,,Cash,Taxi Affiliation Services,2640,,0
33,23.85,1,2,2,1357524000,-87.62033462,,,10.5,,Cash,,1200,,0
6,12.25,10,1,1,1476579600,-87.65324399,41.92045151,-87.67995477,3.5,17031832200,Credit Card,,900,22,3
24,3.85,3,15,6,1427469300,-87.6698378,41.92045151,-87.67995477,0.23,17031832200,Cash,,120,22,0
24,6.05,8,23,5,1439509500,-87.67531162,41.92045151,-87.67995477,1.1,17031832200,Cash,Taxi Affiliation Services,360,22,0
24,7.25,10,21,7,1412458200,-87.66533766,41.92045151,-87.67995477,1.7,17031832200,Credit Card,,480,22,2
32,7.85,11,11,2,1383562800,-87.63140653,41.84924675,-87.6241353,1.8,17031841000,Cash,,540,33,0
33,13.05,9,17,2,1412010000,-87.6241353,41.84924675,-87.6241353,3,17031841000,Cash,,1500,33,0
2,5.05,11,20,2,1415651400,-87.69501259,42.00157103,-87.69501259,0.73,,Cash,,180,2,0
4,7.45,3,12,1,1395576000,-87.68751552,42.00157103,-87.69501259,0.1,,Cash,Taxi Affiliation Services,420,2,0
2,3.45,7,18,5,1374775200,-87.69501259,42.00157103,-87.69501259,0,,Cash,,60,2,0
2,4.65,12,15,1,1419781500,-87.69501259,42.00157103,-87.69501259,0.7,,Cash,Taxi Affiliation Services,180,2,0
2,6.25,7,11,1,1405251000,-87.69501259,42.00157103,-87.69501259,0,,Cash,Taxi Affiliation Services,360,2,0
2,10.05,3,20,6,1395433800,-87.69501259,42.00157103,-87.69501259,3.13,,Cash,,660,2,0
